town,traffic,weather,start,target,route_completion,lights_ran,duration
Town02,0,10,66,19,90.54,3,118.2
Town02,0,14,66,19,100.0,2,129.15
Town02,0,10,6,71,100.0,5,102.6
Town02,0,14,6,71,100.0,4,102.45
Town02,0,10,66,28,76.39,3,118.6
Town02,0,14,66,28,78.97,2,122.5
Town02,0,10,46,32,39.66,1,158.05
Town02,0,14,46,32,71.64,1,158.05
Town02,0,10,25,59,27.83,0,24.15
Town02,0,14,25,59,27.11,0,23.7
Town02,0,10,32,9,25.26,1,207.75
Town02,0,14,32,9,100.0,3,78.35
Town02,0,10,43,72,50.22,0,186.05
Town02,0,14,43,72,68.41,1,186.05
Town02,0,10,54,14,59.48,3,262.4
Town02,0,14,54,14,90.62,3,123.7
Town02,0,10,26,50,100.0,2,63.5
Town02,0,14,26,50,100.0,2,67.45
Town02,0,10,38,69,43.52,0,27.65
Town02,0,14,38,69,100.0,1,58.2
Town02,0,10,75,24,27.17,1,203.7
Town02,0,14,75,24,91.83,4,76.65
Town02,0,10,19,82,100.0,3,91.85
Town02,0,14,19,82,100.0,4,97.1
Town02,0,10,65,6,89.48,0,67.35
Town02,0,14,65,6,92.78,1,253.5
Town02,0,10,71,29,85.13,1,48.9
Town02,0,14,71,29,100.0,1,52.7
Town02,0,10,59,16,2.21,0,185.5
Town02,0,14,59,16,2.04,0,185.55
Town02,0,10,6,66,31.2,1,201.05
Town02,0,14,6,66,32.02,2,200.75
Town02,0,10,83,56,100.0,2,50.3
Town02,0,14,83,56,100.0,2,49.9
Town02,0,10,69,71,100.0,3,81.45
Town02,0,14,69,71,100.0,2,83.35
Town02,0,10,82,28,51.79,1,41.55
Town02,0,14,82,28,100.0,1,75.8
Town02,0,10,8,17,100.0,2,41.15
Town02,0,14,8,17,100.0,2,40.85
Town02,0,10,19,12,100.0,4,97.05
Town02,0,14,19,12,100.0,4,98.7
Town02,0,10,39,18,4.97,0,203.6
Town02,0,14,39,18,4.21,0,186.95
Town02,0,10,51,8,97.4,1,57.45
Town02,0,14,51,8,100.0,1,57.8
Town02,0,10,24,36,23.29,0,202.2
Town02,0,14,24,36,100.0,3,90.0
Town02,0,10,64,73,100.0,1,47.6
Town02,0,14,64,73,100.0,1,47.95
Town02,1,10,66,19,32.95,1,50.25
Town02,1,14,66,19,54.72,2,78.0
Town02,1,10,6,71,46.91,4,50.3
Town02,1,14,6,71,46.39,3,49.5
Town02,1,10,66,28,28.65,1,50.4
Town02,1,14,66,28,78.82,4,125.85
Town02,1,10,46,32,44.88,2,158.05
Town02,1,14,46,32,71.64,1,158.05
Town02,1,10,25,59,27.6,0,23.95
Town02,1,14,25,59,27.11,0,23.75
Town02,1,10,32,9,26.89,1,30.35
Town02,1,14,32,9,100.0,3,77.8
Town02,1,10,43,72,52.09,1,186.05
Town02,1,14,43,72,62.23,1,35.0
Town02,1,10,54,14,91.04,4,250.15
Town02,1,14,54,14,11.16,1,19.8
Town02,1,10,26,50,100.0,0,75.75
Town02,1,14,26,50,65.92,1,56.05
Town02,1,10,38,69,43.52,0,27.7
Town02,1,14,38,69,100.0,1,87.4
Town02,1,10,75,24,30.24,2,200.75
Town02,1,14,75,24,88.19,4,75.2
Town02,1,10,19,82,69.79,2,70.3
Town02,1,14,19,82,100.0,3,106.95
Town02,1,10,65,6,89.09,1,66.3
Town02,1,14,65,6,100.0,1,152.35
Town02,1,10,71,29,100.0,1,53.25
Town02,1,14,71,29,100.0,1,53.25
Town02,1,10,59,16,3.07,1,480.05
Town02,1,14,59,16,2.21,0,480.05
Town02,1,10,6,66,34.88,1,50.8
Town02,1,14,6,66,34.88,2,105.85
Town02,1,10,83,56,100.0,3,73.1
Town02,1,14,83,56,100.0,3,50.4
Town02,1,10,69,71,100.0,3,98.7
Town02,1,14,69,71,43.86,2,38.8
Town02,1,10,82,28,51.79,1,41.45
Town02,1,14,82,28,100.0,1,75.9
Town02,1,10,8,17,17.07,0,16.1
Town02,1,14,8,17,100.0,1,67.7
Town02,1,10,19,12,76.81,2,78.65
Town02,1,14,19,12,100.0,2,115.2
Town02,1,10,39,18,6.03,0,38.55
Town02,1,14,39,18,96.26,3,101.8
Town02,1,10,51,8,97.4,1,57.2
Town02,1,14,51,8,97.4,1,57.65
Town02,1,10,24,36,30.36,1,29.95
Town02,1,14,24,36,23.55,0,22.5
Town02,1,10,64,73,100.0,1,48.3
Town02,1,14,64,73,100.0,1,49.0
Town02,2,10,66,19,5.53,0,8.05
Town02,2,14,66,19,19.03,0,25.7


Town02,2,10,6,71,32.23,1,76.2
Town02,2,14,6,71,49.14,4,96.0

Town02,2,10,66,28,12.99,0,21.55
Town02,2,14,66,28,38.57,1,196.0
Town02,2,10,46,32,39.14,1,158.05
Town02,2,14,46,32,40.46,1,43.75
Town02,2,10,25,59,27.11,0,23.8
Town02,2,14,25,59,27.11,0,24.35
Town02,2,10,32,9,82.46,3,277.05
Town02,2,14,32,9,13.54,0,38.5
Town02,2,10,43,72,19.98,0,15.3
Town02,2,14,43,72,19.98,0,12.55
Town02,2,10,54,14,37.62,1,87.6
Town02,2,14,54,14,53.56,3,200.8
Town02,2,10,26,50,73.33,0,104.35
Town02,2,14,26,50,19.18,0,19.45
Town02,2,10,38,69,43.52,0,32.8
Town02,2,14,38,69,47.46,0,198.05
Town02,2,10,75,24,22.68,1,31.65
Town02,2,14,75,24,25.76,1,50.95
Town02,2,10,19,82,51.64,1,96.95
Town02,2,14,19,82,33.68,0,33.6
Town02,2,10,65,6,33.47,0,50.45
Town02,2,14,65,6,13.79,0,259.05
Town02,2,10,71,29,87.65,1,185.05
Town02,2,14,71,29,12.48,1,34.55
Town02,2,10,59,16,4.27,1,138.0
Town02,2,14,59,16,5.54,0,52.65
Town02,2,10,6,66,34.88,2,64.45
Town02,2,14,6,66,48.98,1,74.4
Town02,2,10,83,56,91.34,4,54.1
Town02,2,14,83,56,7.7,0,6.5
Town02,2,10,69,71,100.0,3,144.9
Town02,2,14,69,71,38.41,2,68.0
Town02,2,10,82,28,25.91,1,21.3
Town02,2,14,82,28,52.15,2,59.1
Town02,2,10,8,17,100.0,2,70.7
Town02,2,14,8,17,1.24,0,77.8
